num_word,num_sentence,num_pos_words,num_neg_words,num_pos_followed_by_neg,first_person,second_person,third_person,num_proper_nouns,num_conjunctions,num_superlatives,num_hedges,num_boosts,num_numbers,num_quotes,num_consecutive_upper
103,5,0,0,0,1,0,3,9,3,0,2,1,2,1,1
191,7,5,1,1,5,1,11,23,2,0,12,3,5,0,1
181,4,1,0,2,5,0,3,33,6,1,5,0,1,0,1
110,4,0,1,0,1,0,7,7,2,0,1,0,1,1,0
641,32,6,2,4,31,4,28,63,21,1,38,3,13,1,1
681,22,10,3,1,16,0,10,76,20,1,12,2,7,1,1
643,28,5,0,0,13,7,17,47,21,3,23,4,13,1,1
666,25,13,4,3,6,4,6,55,29,1,23,1,14,1,1
749,33,1,4,1,12,16,32,60,16,4,28,5,12,1,1
131,4,1,0,1,0,1,2,6,5,0,5,1,4,0,1
124,4,1,1,0,0,0,3,10,4,0,4,1,5,1,0
129,5,0,0,0,0,1,9,19,4,0,1,0,6,1,1
160,5,1,0,0,3,2,4,11,6,0,11,0,11,1,1
163,4,1,0,1,0,0,3,39,4,0,5,1,7,0,1
157,4,0,0,0,1,0,4,18,4,1,5,1,2,0,1
150,6,0,4,1,2,0,3,18,5,0,2,0,4,0,1
176,6,3,2,1,2,0,4,24,3,1,8,1,6,0,1
79,4,0,2,0,1,0,3,9,1,0,3,1,2,1,0
87,5,0,0,0,5,0,2,1,0,0,1,0,3,0,1
626,20,3,5,4,10,8,23,65,16,1,13,3,5,0,1
649,25,5,1,1,21,11,36,31,24,0,26,5,17,0,1
602,22,6,10,5,5,0,14,86,21,2,17,2,4,0,1
643,28,13,0,0,12,8,27,53,18,1,32,5,13,0,1
105,6,2,1,0,3,0,5,9,3,1,1,0,6,0,1
760,39,6,18,7,14,1,32,74,21,3,47,3,9,1,1
623,31,7,5,4,9,3,42,33,18,2,26,5,4,0,1
721,26,0,27,1,9,3,32,39,24,2,12,0,3,0,1
150,4,2,4,1,3,1,4,15,6,1,4,2,1,1,0
166,5,0,0,0,5,0,7,13,7,0,5,0,2,0,1
91,4,3,1,0,3,1,6,13,2,3,2,0,3,1,2
670,29,1,2,1,14,1,61,22,20,0,28,2,17,1,1
702,29,6,1,1,18,0,21,34,25,0,20,11,2,1,1
199,6,0,2,0,6,0,9,6,6,0,12,4,1,0,1
162,3,2,0,1,0,8,4,6,5,0,17,1,0,0,0
185,4,1,1,2,0,1,3,8,7,0,2,1,3,0,0
215,5,1,0,1,11,1,6,11,7,0,11,3,2,0,1
187,5,1,2,1,3,0,2,13,8,0,2,2,0,0,1
63,3,1,1,0,1,0,4,10,2,0,1,0,3,1,0
134,4,1,0,2,0,0,3,7,3,0,6,2,10,0,1
595,21,4,14,6,7,0,14,27,18,2,21,5,4,1,1
147,5,0,1,0,5,0,7,12,3,0,6,1,5,0,1
240,6,0,0,0,0,1,12,11,6,1,9,0,8,0,1
830,43,3,2,4,17,1,30,63,29,1,34,7,18,1,1
138,4,0,0,0,2,0,2,8,3,0,3,1,2,1,0
111,5,0,2,1,0,0,3,18,3,0,4,0,3,1,1
84,5,1,0,0,0,0,1,17,1,0,2,0,16,1,1
154,4,2,0,5,5,0,11,6,6,0,8,1,1,0,1
630,25,0,4,2,9,0,15,57,18,1,21,4,20,1,1
848,35,5,9,3,15,0,20,134,21,2,30,1,8,1,2
205,5,1,0,0,5,0,14,9,4,0,13,2,1,0,1
143,4,1,0,0,7,0,10,6,4,0,5,2,4,1,1
90,4,1,1,0,0,0,0,13,3,0,1,0,1,1,0
158,6,0,0,0,0,0,2,27,7,1,3,1,8,1,1
740,41,5,2,2,26,1,40,52,28,0,28,4,8,1,1
90,4,0,0,0,5,0,0,9,3,0,1,0,14,1,1
33,1,0,0,0,0,0,0,0,2,0,0,0,3,0,0
150,4,2,0,0,0,0,10,5,6,0,4,0,1,0,0
137,4,0,2,0,0,0,5,8,2,0,4,1,1,1,0
160,4,0,4,1,1,0,1,17,5,0,3,0,2,0,1
194,4,0,0,0,6,0,13,6,8,0,8,0,3,0,1
472,16,3,21,6,7,1,5,43,18,3,15,2,11,0,1
106,5,1,4,0,0,0,0,11,2,0,2,0,1,1,1
253,7,0,2,0,5,0,11,43,9,0,3,1,2,0,1
96,4,2,0,0,0,0,5,22,6,0,1,0,2,1,2
131,4,0,0,0,3,1,3,9,3,1,3,0,1,1,1
144,6,3,2,2,5,0,12,10,2,1,4,0,1,0,1
367,9,2,4,2,1,0,10,89,17,2,9,0,2,1,1
428,16,1,9,1,8,0,7,30,13,1,13,4,5,0,1
138,4,1,3,0,0,0,2,14,3,1,3,1,1,0,1
208,8,6,0,1,8,1,10,10,6,0,11,1,2,0,1
576,28,1,2,4,16,1,14,47,22,0,33,4,7,1,1
91,5,2,2,0,3,0,6,6,0,0,5,2,2,1,1
151,5,1,0,1,0,1,6,7,5,0,1,0,3,0,1
146,5,1,0,0,3,2,10,7,3,0,4,0,3,0,1
485,19,3,4,3,10,0,5,70,15,1,9,0,13,1,1
65,8,0,1,0,4,4,1,0,2,0,6,0,1,0,0
716,37,2,3,2,20,3,15,82,20,3,34,4,14,1,1
189,6,8,2,0,2,2,2,25,7,0,2,1,2,0,1
722,30,3,0,2,41,3,42,20,24,0,73,11,14,1,1
413,23,1,1,0,29,2,17,40,9,1,29,6,5,1,1
191,5,3,0,1,10,0,11,13,6,0,13,1,2,0,1
184,9,0,0,1,6,1,8,14,6,0,8,0,2,0,1
179,7,1,1,3,4,0,7,12,5,0,2,1,3,0,1
156,6,1,1,0,8,0,5,12,4,0,5,2,2,1,1
57,4,1,0,0,2,2,2,5,4,0,5,1,2,1,1
99,4,1,4,0,1,0,3,14,5,2,1,0,4,1,0
221,5,2,4,2,7,0,12,7,3,0,6,0,3,0,1
702,22,6,1,0,12,10,34,50,18,3,33,5,6,0,1
135,6,5,0,0,6,0,10,15,2,2,1,0,2,0,1
543,21,1,2,0,10,0,28,29,15,1,22,2,4,1,1
89,4,0,0,1,0,0,6,9,4,1,1,0,6,1,0
121,5,2,0,1,5,0,3,5,3,0,3,1,2,1,1
153,5,0,0,1,6,1,12,6,3,0,8,2,5,0,1
113,8,0,1,1,0,2,10,8,1,0,1,0,2,0,0
122,7,1,0,2,1,2,3,14,1,2,7,2,5,0,1
192,5,1,0,0,9,0,7,7,4,2,9,1,2,0,1
670,31,1,1,1,11,0,40,38,25,2,28,2,9,1,2
220,4,1,1,1,1,0,1,14,8,0,8,2,1,0,1
447,22,1,9,4,8,3,13,17,12,0,29,6,1,0,1
100,6,0,0,0,3,0,4,15,3,0,2,0,2,1,1
688,33,2,7,5,36,5,15,40,23,5,23,5,9,1,1
627,23,2,3,2,7,1,30,27,19,3,16,8,12,0,1
832,39,10,8,6,33,0,17,76,21,2,22,5,10,1,2
747,23,6,6,1,13,0,25,70,27,7,6,3,9,0,1
161,5,1,0,0,11,0,9,12,3,0,5,2,1,0,1
192,6,1,1,2,4,0,6,17,10,0,8,2,4,1,2
144,6,1,2,0,2,0,7,18,8,0,3,1,0,1,1
115,4,0,0,0,3,0,4,15,3,1,3,0,4,1,0
167,7,2,0,3,11,0,6,7,1,0,9,2,3,1,1
89,4,0,3,1,2,0,3,14,1,0,4,1,4,1,1
704,23,0,7,1,6,1,39,29,13,0,28,5,11,1,1
407,23,1,0,1,15,1,20,59,14,0,9,6,5,1,1
133,4,0,0,0,0,0,8,7,3,0,2,1,1,0,1
110,5,0,1,2,0,0,4,12,3,0,1,1,6,1,0
160,5,3,0,3,1,0,6,24,6,1,3,0,7,1,1
503,25,5,7,1,15,0,9,58,13,1,17,2,15,1,1
142,6,6,0,1,2,1,13,15,7,1,0,0,8,1,1
607,20,2,4,4,10,5,21,32,21,0,14,3,7,0,1
166,5,0,2,0,4,0,5,18,5,2,7,1,4,0,1
627,38,1,8,2,8,3,11,51,24,3,23,1,12,1,1
450,20,2,1,2,7,6,13,55,9,0,11,1,14,1,1
92,4,0,4,0,2,0,2,7,2,0,3,0,4,1,1
132,7,1,0,0,5,0,7,11,6,0,7,1,6,0,1
122,7,1,0,0,2,0,12,17,2,0,5,2,1,0,1
116,4,1,0,0,2,0,3,11,2,0,1,0,6,1,1
774,32,9,3,1,7,1,34,72,13,2,45,7,7,1,1
83,4,0,2,1,1,1,5,6,1,1,3,1,2,1,2
62,4,0,1,1,1,0,2,13,1,0,2,0,1,1,1
55,3,0,0,0,0,0,5,5,1,0,0,0,1,1,0
98,5,0,0,1,2,0,5,15,3,0,4,0,1,1,1
180,6,0,0,1,0,0,5,26,5,0,6,2,8,1,1
797,29,4,5,4,4,1,10,208,16,0,25,1,16,1,1
345,10,4,4,1,9,0,11,28,8,0,7,2,13,1,2
136,4,0,0,1,0,0,3,2,3,0,5,2,2,0,0
95,4,1,0,0,0,0,2,11,1,1,5,1,5,1,1
599,30,1,12,5,8,3,20,41,16,1,21,0,3,1,1
197,6,1,0,0,6,0,8,5,7,0,9,2,4,0,1
179,9,3,1,1,8,4,9,13,5,0,12,2,3,1,1
80,4,0,0,0,3,0,4,8,2,0,4,0,1,1,0
101,4,2,0,3,4,0,2,10,3,0,3,0,4,1,1
127,6,3,1,0,5,0,2,16,1,0,2,0,1,1,1
727,33,6,3,3,16,1,35,60,18,1,16,4,5,1,1
619,30,15,0,0,5,2,30,51,26,2,25,5,9,1,1
644,37,1,6,0,18,0,41,29,21,2,32,2,1,1,1
88,5,0,1,0,1,0,5,15,5,0,2,0,1,1,1
114,5,0,0,1,0,3,3,19,8,0,1,1,4,1,1
142,5,2,4,1,6,1,3,14,4,0,5,0,2,0,1
706,28,8,7,6,4,4,13,102,14,3,38,6,5,1,1
148,4,0,0,0,1,0,14,12,5,0,1,0,1,1,0
1028,61,2,1,1,32,7,49,130,38,2,49,7,12,1,1
87,3,2,0,0,2,0,3,7,3,1,4,0,1,1,0
689,24,3,2,5,29,2,25,62,23,2,13,7,9,1,1
820,61,8,5,0,24,2,31,141,29,2,20,7,24,1,1
67,4,1,1,0,3,1,2,6,1,0,0,1,5,1,1
69,4,1,0,0,0,0,3,11,3,0,2,0,1,1,0
869,40,4,16,4,18,7,28,62,33,2,27,7,14,1,1
141,5,1,3,0,5,0,3,19,3,0,7,1,3,0,1
793,42,7,3,5,32,5,23,113,25,1,33,5,14,1,1
72,3,0,0,0,0,0,0,6,2,0,0,1,3,1,1
120,6,0,5,0,0,0,1,5,6,1,5,0,1,1,0
192,4,0,1,0,0,0,11,6,8,0,4,1,7,0,0
575,19,3,6,1,9,0,27,32,21,0,15,4,8,0,1
140,8,0,3,1,0,0,4,12,4,0,2,1,2,0,0
88,6,0,1,1,2,0,0,17,1,0,3,0,2,1,0
230,6,0,2,2,2,0,3,28,7,1,4,1,4,0,0
165,7,1,0,0,0,4,6,6,3,0,5,0,3,0,0
754,36,5,6,3,12,0,23,73,81,2,26,1,15,0,1
733,49,2,3,1,20,11,35,79,19,2,37,6,20,1,1
75,4,3,1,0,0,0,5,12,3,1,0,0,1,1,1
173,6,3,0,2,3,1,7,8,3,0,8,0,7,1,0
801,25,5,10,4,21,2,42,59,21,2,27,6,33,0,1
773,23,5,8,3,14,4,51,36,13,2,21,12,16,0,1
257,5,1,2,4,3,0,18,5,8,1,12,1,1,0,1
130,4,1,0,0,1,0,5,25,3,0,2,0,9,1,1
547,29,4,3,4,26,6,35,52,18,1,26,5,4,1,1
149,5,5,1,0,5,0,7,20,3,1,6,0,23,1,0
560,19,11,3,2,8,0,32,55,12,5,30,6,9,1,1
488,21,3,0,1,17,0,10,47,15,0,7,1,13,1,1
113,4,0,2,0,2,0,0,8,4,1,7,0,2,1,1
39,1,0,0,0,1,2,0,3,3,0,4,0,0,0,1
160,7,1,4,0,8,1,7,18,5,0,10,2,0,0,7
129,8,0,1,0,3,2,9,10,4,0,4,3,1,1,1
111,5,0,1,0,5,0,6,11,2,0,4,1,1,1,1
472,18,7,8,2,0,0,31,74,5,1,5,2,3,1,2
29,3,0,0,0,0,2,0,1,1,0,2,0,5,0,0
15,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0
133,4,0,0,1,6,0,2,12,5,0,7,1,1,1,1
85,5,1,1,0,0,0,2,12,4,0,1,1,2,1,0
736,26,11,3,5,28,0,67,43,24,1,43,5,11,1,1
144,9,1,1,0,1,0,9,16,6,0,1,0,2,1,1
824,33,10,6,7,20,2,44,81,26,3,30,4,19,1,1
127,5,1,0,1,1,1,3,18,3,0,2,0,1,1,1
173,4,2,0,1,7,0,4,15,6,0,2,1,3,1,1
138,5,1,2,0,5,0,6,19,3,0,2,0,2,1,1
180,7,1,6,3,3,0,10,18,8,0,11,0,3,0,1
166,5,1,0,0,3,1,4,35,7,1,9,2,0,0,1
168,6,2,1,0,9,1,6,12,9,0,5,2,2,1,1
137,9,1,3,1,10,3,6,16,4,2,5,0,0,1,1
153,5,0,0,0,1,0,8,9,5,0,2,2,2,1,1
151,6,0,1,3,0,3,4,14,4,0,8,2,0,0,1
147,10,1,0,0,8,3,9,13,6,0,14,2,0,1,1
135,9,0,1,0,3,4,9,11,2,0,5,1,1,0,1
931,47,11,21,9,23,8,26,105,27,5,37,7,9,1,1
32,7,1,0,0,2,0,1,3,1,0,1,0,0,0,1
28,4,0,0,0,1,2,2,1,0,0,3,0,3,0,1
80,4,3,1,0,1,0,3,13,2,0,1,0,0,1,1
248,8,4,0,0,9,1,11,17,8,1,9,2,1,0,1
181,5,0,2,1,4,0,12,11,5,0,8,4,1,0,1
158,1,3,2,2,0,4,2,15,7,1,7,2,1,0,2
158,1,3,2,2,0,4,2,15,7,1,7,2,1,0,2
170,4,4,0,0,0,1,9,41,7,0,4,0,4,1,1
793,28,1,1,2,7,1,21,106,21,3,24,0,15,1,1
116,6,0,1,0,1,0,5,19,2,0,2,0,3,1,2
95,5,0,0,1,1,0,2,13,2,0,2,1,2,1,1
93,5,2,0,0,0,2,2,16,2,1,2,0,0,1,0
66,3,0,0,0,1,0,1,11,2,0,2,0,1,1,1
70,4,0,1,0,2,0,1,23,2,0,2,1,1,1,2
620,30,7,1,1,7,4,25,57,12,0,16,1,16,1,1
122,4,1,2,2,3,0,2,8,4,0,5,2,1,1,1
74,3,0,0,0,1,0,4,11,5,0,2,1,0,1,1
249,10,3,0,1,2,0,5,23,7,3,3,2,10,1,1
126,4,1,1,0,0,0,0,25,6,0,3,0,0,0,1
208,8,0,1,0,0,2,0,32,8,1,2,2,6,0,1
789,55,7,0,0,16,5,8,41,31,0,30,2,13,0,1
115,5,1,2,0,0,0,2,11,4,0,4,0,1,1,1
735,40,3,11,4,16,0,40,46,15,1,33,4,9,1,1
742,41,3,9,2,15,0,41,52,15,1,30,3,9,1,1
502,16,3,2,4,18,0,27,23,13,0,20,5,0,0,1
717,27,7,20,4,12,8,66,37,35,2,34,5,5,1,1
79,4,0,4,1,0,0,4,9,2,0,1,0,2,1,0
223,4,2,1,0,1,0,9,15,7,0,9,2,1,0,1
575,45,1,2,2,21,3,33,83,21,1,23,4,4,1,1
155,4,1,0,0,3,0,2,14,6,1,8,0,0,0,1
76,4,1,0,0,0,0,3,18,1,0,1,0,2,1,3
78,4,0,0,0,1,0,0,10,1,0,1,0,3,1,1
663,29,3,2,0,28,2,27,51,29,0,19,4,19,1,1
729,40,4,0,1,14,2,19,89,26,1,9,2,20,1,1
116,4,0,0,0,0,1,5,15,3,0,1,0,4,1,1
617,25,6,13,5,17,4,18,101,20,0,22,0,6,1,1
231,4,2,2,1,0,20,9,10,8,0,13,0,0,0,1
93,4,1,0,0,0,1,0,8,2,0,2,0,0,1,1
579,30,6,6,6,14,8,21,28,13,3,18,0,5,1,1
652,45,4,0,6,27,1,32,79,17,1,28,2,5,1,1
144,6,1,2,1,0,2,1,4,3,0,6,0,1,0,1
647,28,14,1,1,7,7,10,72,24,1,23,6,20,1,1
615,34,8,7,1,14,5,25,84,24,0,13,0,3,1,1
126,5,0,0,0,5,0,2,15,6,0,6,0,1,1,1
695,22,0,9,4,6,1,18,17,21,2,23,0,1,0,1
719,40,6,10,6,27,9,29,41,20,1,20,5,7,1,1
91,4,0,0,0,0,1,3,11,3,1,2,0,1,1,1
87,6,1,0,0,5,1,2,12,4,0,4,1,2,1,1
82,4,2,0,0,1,0,7,13,3,0,7,1,1,1,1
522,13,0,2,3,22,3,40,11,23,0,38,6,4,1,1
715,37,2,3,6,28,0,14,97,26,0,23,1,6,1,3
78,5,0,0,0,1,0,5,22,1,1,0,0,0,1,0
590,20,7,0,2,9,2,26,52,20,2,29,3,7,1,1
758,57,8,2,2,40,2,33,57,27,1,39,4,10,1,1
568,26,8,1,2,6,1,23,7,15,3,32,3,0,1,1
874,50,10,8,6,16,1,55,52,36,0,27,9,8,1,1
631,42,4,6,0,19,3,28,64,24,2,21,5,1,1,1
92,5,1,0,0,3,0,4,12,2,0,3,1,2,1,1
191,5,3,2,4,1,0,15,6,4,0,10,2,1,0,0
75,5,0,0,0,2,0,3,9,3,0,5,1,0,1,0
582,28,2,5,6,27,4,19,74,17,1,20,1,6,1,3
651,45,3,2,0,12,11,18,73,21,0,25,6,8,1,1
149,5,2,0,2,1,0,5,18,5,0,1,0,3,1,1
111,6,4,1,1,0,0,3,11,1,0,1,1,3,1,0
209,5,1,3,2,2,3,8,6,10,0,10,1,0,0,0
850,45,9,23,6,24,2,20,86,23,2,25,2,24,1,2
158,7,2,1,0,1,1,5,19,2,0,4,2,2,0,1
105,7,1,2,1,2,0,4,14,2,1,4,1,2,1,1
100,8,0,0,1,0,0,6,8,3,0,0,0,0,1,0
619,23,1,8,0,19,3,18,63,20,0,33,2,14,1,1
791,30,3,4,4,16,1,11,78,28,7,34,1,9,1,1
134,5,1,1,1,0,0,3,9,5,0,1,0,1,0,1
182,8,3,0,1,3,0,8,10,5,0,12,0,1,0,1
176,6,0,0,0,0,0,17,11,9,0,11,2,1,0,0
680,19,4,3,1,26,2,60,19,24,1,11,7,2,1,1
687,45,7,4,4,11,2,18,91,15,1,25,2,14,1,2
82,3,3,0,1,0,0,5,9,1,0,0,0,1,0,0
133,4,2,0,0,3,0,13,13,5,0,8,2,0,1,1
114,10,0,0,0,5,7,6,11,2,0,6,1,1,1,1
187,5,3,0,1,5,0,11,15,4,2,5,0,2,0,1
158,6,2,0,0,3,0,12,17,3,0,8,1,0,0,1
535,32,2,2,1,23,2,30,74,23,0,25,4,15,1,2
596,23,4,6,5,8,2,39,21,14,0,33,10,6,0,1
94,4,1,0,2,3,0,3,9,1,0,2,1,0,1,1
162,7,6,0,0,2,2,5,0,6,2,13,3,1,0,0
101,5,2,0,0,2,0,3,11,2,0,2,1,3,1,1
132,5,1,0,0,2,0,5,11,3,1,6,1,0,1,1
184,6,0,0,0,1,3,14,8,3,0,6,3,1,0,0
151,6,3,2,2,0,6,8,7,5,0,13,1,2,0,0
186,6,1,0,0,2,3,7,17,6,0,10,3,0,0,0
176,6,1,1,0,0,3,7,14,5,0,3,0,0,0,1
96,5,4,0,0,3,0,3,15,1,0,0,1,0,1,1
95,4,1,3,1,0,1,1,16,6,0,3,1,1,1,2
123,5,0,0,0,1,0,5,13,5,0,4,1,3,1,1
127,6,1,2,2,0,2,9,9,2,0,11,1,1,0,3
666,22,3,3,3,4,1,14,34,17,4,33,2,5,0,1
2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0
73,4,2,0,0,0,0,1,4,2,1,0,0,0,1,1
683,44,10,3,2,56,7,36,72,25,1,39,4,4,1,1
260,9,1,0,2,3,0,18,21,12,0,16,1,0,1,1
619,37,8,4,1,14,10,23,84,14,5,27,5,12,1,1
625,22,8,5,1,13,1,8,62,25,1,21,3,6,1,1
110,7,1,0,0,5,1,0,11,2,0,6,1,0,1,1
151,4,1,7,1,1,2,12,8,4,1,6,2,2,0,1
569,25,3,3,3,3,1,13,53,21,0,15,0,3,1,1
312,14,1,1,1,2,0,15,29,9,1,8,2,9,1,1
692,26,12,7,7,11,2,17,82,22,0,19,3,5,1,1
139,4,4,0,0,2,0,12,16,4,0,3,0,2,1,1
91,4,0,1,1,4,0,3,13,2,0,7,0,1,1,1
93,4,3,0,0,2,0,3,28,2,0,2,3,0,1,1
127,7,0,5,0,0,0,1,15,3,0,3,0,1,1,1
102,5,0,0,0,3,0,6,16,2,0,3,0,5,1,1
127,4,1,3,1,2,0,9,10,5,0,6,1,3,1,0
633,24,6,11,5,22,1,15,53,20,3,12,6,8,1,1
471,23,7,1,3,4,3,18,71,13,3,18,4,12,1,1
23,2,0,0,0,0,2,0,0,2,0,1,0,0,0,0
523,17,3,5,5,21,0,27,15,18,0,20,2,6,0,1
160,4,3,2,1,4,0,9,7,4,2,13,1,2,0,1
182,5,0,0,1,2,0,0,24,7,0,9,0,1,0,1
125,3,0,0,0,4,0,5,13,3,0,3,2,1,1,1
106,4,0,0,1,1,0,7,9,3,0,6,0,1,0,1
136,6,1,0,0,2,0,4,14,2,0,8,1,3,0,1
90,6,5,0,0,0,0,6,13,1,0,2,0,0,0,0
144,6,0,0,0,9,0,1,9,9,2,6,5,1,1,1
174,5,0,0,0,1,0,7,11,6,1,3,1,0,1,1
143,5,0,0,0,4,0,7,10,6,1,2,0,2,0,0
839,44,7,6,8,35,2,43,103,34,0,39,4,14,1,2
788,22,4,3,4,41,0,56,26,24,3,36,8,3,0,1
201,5,1,0,2,0,0,10,16,12,0,7,0,1,0,0
552,19,11,1,5,6,1,24,79,22,0,14,0,6,1,1
139,6,3,1,0,4,0,5,15,4,0,4,1,2,1,1
617,29,10,5,2,7,2,29,74,16,0,16,5,13,1,1
212,5,2,0,0,6,0,7,29,10,0,3,3,0,0,0
219,4,2,1,1,5,0,5,30,7,1,8,2,3,0,1
200,5,5,0,0,3,2,9,14,5,2,11,0,0,0,0
250,5,0,1,0,4,0,17,9,6,0,12,1,0,0,1
630,40,2,6,0,4,2,14,71,15,0,16,0,13,1,2
305,9,5,8,5,3,0,15,23,4,0,11,2,7,0,1
633,26,4,3,1,13,4,8,43,20,3,29,3,3,1,1
96,4,2,1,0,2,0,5,14,2,0,4,1,1,1,1
156,8,0,0,0,1,2,9,19,4,0,2,0,2,0,0
103,4,0,0,0,1,0,1,12,1,1,3,0,0,1,0
643,41,4,3,1,26,2,20,52,13,0,32,4,5,1,1
190,5,3,0,0,2,3,6,9,7,0,9,2,1,0,1
82,6,0,0,1,0,1,3,13,0,0,3,0,0,1,1
126,8,0,1,1,3,0,4,13,1,0,3,0,0,0,1
140,5,0,0,0,0,1,5,15,2,0,5,2,2,0,0
187,6,0,1,0,8,0,9,19,7,0,5,0,4,1,1
406,15,1,2,0,4,0,15,60,8,0,13,1,4,1,1
102,6,1,0,1,3,1,4,13,2,0,2,1,2,1,1
649,21,6,4,1,11,0,45,36,23,1,18,1,4,1,1
797,37,3,2,3,9,2,34,77,23,1,28,5,5,1,1
563,27,1,6,1,15,3,17,71,12,0,17,2,2,1,2
124,8,1,1,1,2,2,2,17,5,1,8,0,0,0,1
105,6,0,0,0,4,0,4,19,4,0,4,0,2,0,1
99,4,0,0,0,1,0,0,14,1,0,5,0,1,1,1
748,32,3,12,4,9,3,39,52,15,1,32,2,9,1,1
659,26,2,15,4,11,6,26,24,23,1,31,8,5,1,1
119,5,2,1,0,3,0,11,16,4,1,1,1,0,1,0
160,4,0,3,1,1,0,3,11,2,0,2,2,0,0,1
136,6,2,2,2,0,0,6,13,4,0,1,0,1,1,0
226,9,1,3,1,2,2,14,8,10,0,5,1,1,0,1
116,5,3,0,1,2,0,0,10,2,1,1,0,2,0,1
598,19,8,7,3,9,1,15,27,13,2,27,0,11,1,1
98,3,3,0,0,1,0,1,10,3,0,3,1,0,1,2
201,6,2,2,0,5,0,3,24,5,0,1,0,3,0,1
120,4,2,0,0,2,0,3,25,3,1,2,0,3,0,1
594,19,0,1,0,16,1,29,30,17,0,26,0,13,1,1
119,6,0,2,0,2,1,2,13,1,0,3,0,0,1,1
90,5,1,0,1,4,0,2,18,4,0,2,0,2,1,1
112,6,1,0,0,2,3,4,18,4,0,4,0,3,1,1
144,6,1,2,3,0,1,4,18,1,0,6,3,0,0,1
561,15,7,3,6,2,9,20,13,39,2,19,10,2,0,1
